price,bedrooms,bathrooms,Type of Property,Erf Size,Floor Size,Levies,Pool,Rates and Taxes,parking space,Pets Allowed
R 2 749 000,2.0,2.0,Apartment/Flat,,196m²,R5100,0,R1645,2.0,1.0
R 1 920 000,3.0,2.5,Townhouse,38174m²,135m²,R3311,0,R753,3.0,1.0
R 635 000,1.0,1.0,Apartment/Flat,,,R1600,0,R360,1.0,
R 755 000,2.0,1.0,Apartment/Flat,,56m²,R700,0,R200,1.0,
R 1 690 000,2.0,1.5,House,1154m²,153m²,,0,,2.0,1.0
R 420 000,1.0,1.0,Apartment/Flat,1016m²,45m²,R1400,0,R200,1.0,0.0
R 839 000,2.0,1.0,Apartment/Flat,,56m²,R750,0,R500,2.0,0.0
R 755 000,2.0,1.0,Apartment/Flat,,51m²,R750,0,R500,2.0,0.0
R 2 850 000,3.0,2.0,House,496m²,,,0,R1175,2.0,1.0
R 765 000,2.0,1.0,Apartment/Flat,,56m²,R750,0,R500,2.0,0.0
R 930 000,2.0,2.0,Townhouse,496m²,126m²,R1973,0,R288,3.0,
R 739 000 - R 789 000,,,,,,,0,,,
R 755 000,2.0,1.0,Apartment/Flat,,56m²,R750,0,R300,1.0,
R 675 000,2.0,1.0,Apartment/Flat,,51m²,R660,0,R180,1.0,
R 2 999 000,7.0,4.0,House,1487m²,,,0,,,1.0
R 415 000,3.0,1.5,Apartment/Flat,,144m²,R3354,0,,,0.0
R 1 650 000,,,IndustrialProperty,222m²,,,0,,,
R 1 395 000,,,CommercialProperty,1138m²,,,0,R1645,,
R 755 000,2.0,1.0,Apartment/Flat,,51m²,R700,0,R200,1.0,
R 1 300 000,4.0,3.0,House,496m²,,,0,R950,10.0,1.0
R 765 000,2.0,2.0,Townhouse,4036m²,85m²,R2100,0,R223,1.0,0.0
R 1 475 000,3.0,2.0,Apartment/Flat,,103m²,R2300,0,R720,2.0,1.0
R 675 000,2.0,1.0,Apartment/Flat,51m²,51m²,R750,0,R180,1.0,
R 1 195 000,3.0,2.0,Apartment/Flat,,,R1352,0,R551,1.0,
R 675 000,2.0,1.0,Apartment/Flat,,51m²,R660,0,R180,1.0,
R 950 000,2.0,1.0,Apartment/Flat,,,R1650,0,R640,1.0,
R 449 999,2.0,1.0,Apartment/Flat,60m²,,R1500,0,R208,,
R 600 000,2.0,2.0,Apartment/Flat,,68m²,R1156,0,R300,,0.0
R 755 000,2.0,1.0,Apartment/Flat,,51m²,R700,0,R200,1.0,
R 525 000,2.0,1.0,Apartment/Flat,12456m²,65m²,,0,R1500,1.0,1.0
R 3 500 000,3.0,2.0,House,,,,0,R2117,3.0,1.0
R 765 000,2.0,1.0,Apartment/Flat,,56m²,R1300,0,R150,1.0,
R 839 000,2.0,1.0,House,75m²,56m²,R820,0,R350,1.0,
R 839 000,2.0,1.0,Apartment/Flat,,56m²,R750,0,R500,2.0,0.0
R 990 000,3.0,2.0,Townhouse,2394m²,113m²,R2300,0,R350,1.0,
R 1 100 000,4.0,1.0,House,511m²,190m²,,0,R450,9.0,1.0
R 675 000,2.0,1.0,Apartment/Flat,,51m²,R1100,0,R150,1.0,0.0
R 755 000,2.0,1.0,Apartment/Flat,,51m²,R750,0,R300,1.0,
R 98 000 000,,,CommercialProperty,4500m²,,,0,,,
R 1 399 000,4.0,2.0,House,727m²,260m²,,0,,7.0,1.0
R 665 000,2.0,1.0,Apartment/Flat,,51m²,R660,0,R180,1.0,
R 2 399 000,5.0,3.0,House,1026m²,220m²,,0,R1375,4.0,1.0
