price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pool,Pets Allowed
R 1 230 000,3,2,,Townhouse,,,,,0,0.0
R 595 000,1,1,,Apartment/Flat,,,R1800,R800,0,
R 749 000,1,1,2,Apartment/Flat,30000m²,43m²,R933,R86,1,0.0
R 799 000,1,1,1,Apartment/Flat,45m²,45m²,R1234,R521,1,1.0
R 910 500,3,2,1,House,200m²,59m²,,R300,0,1.0
R 1 595 000,2,2,1,Apartment/Flat,,135m²,,,1,0.0
R 1 495 000,4,2,1,House,,,,R520,0,
R 1 030 000,1,1,,Apartment/Flat,,60m²,,,0,
R 1 400 000,,,,CommercialProperty,495m²,226m²,,,0,
R 660 000,2,1,1,Apartment/Flat,72m²,72m²,R1100,R300,0,0.0
R 1 950 000,6,4,4,House,1131m²,180m²,,R729,1,1.0
R 1 550 000,3,1,4,House,495m²,,,,0,1.0
R 2 995 000,4,4,4,House,1990m²,,,,1,
R 175 000,,1,,Apartment/Flat,1487m²,32m²,,,0,0.0
R 110 000,,1,,Apartment/Flat,744m²,42m²,,,0,0.0
R 655 000,2,1,1,Apartment/Flat,,51m²,R1200,R150,0,
R 1 100 000,3,2,2,House,496m²,,,,0,
R 1 750 000,2,1,1,Apartment/Flat,,146m²,R6408,R1117,0,
R 1 100 000,3,2,2,House,600m²,,,,0,
R 780 000,2,1,2,House,495m²,,,R445,0,
R 2 760 000,4,2,2,House,1292m²,385m²,,R1200,1,1.0
R 1 480 000,4,2,4,House,735m²,,,R408,1,1.0
R 748 000,2,2,1,Townhouse,,,,R320,0,
R 1 699 000,3,1.5,5,House,494m²,,,,0,
R 450 000,2,1,1,Apartment/Flat,,62m²,R550,R32,0,
R 1 100 000,3,2,1,Apartment/Flat,,147m²,R4597,R411,0,
R 1 390 000,4,3,6,House,,,,,0,1.0
R 7 500 000,4,3,11,House,1779m²,,,,0,
R 3 900 000,9,7,3,House,1536m²,,,,1,
R 2 499 999,4,1.5,2,House,1088m²,,,R2000,1,1.0
R 1 650 000,3,2,4,House,496m²,,,R1000,0,
R 2 599 000,5,3.5,6,House,1038m²,1038m²,,R1830,0,1.0
R 2 399 000,3,2,2,House,,,,,1,
R 3 500 000,5,4,,House,1308m²,,,,0,
R 804 000,3,2,,House,250m²,,R400,R300,0,
R 4 750 000,4,3,6,House,1122m²,,,,1,1.0
POA,1,1,,Apartment/Flat,,40m²,,,0,
R 500 000,1,1,,Apartment/Flat,,,R1310,,0,
R 2 800 000,3,2,,Townhouse,,255m²,,R1633,1,
R 1 300 000,3,1,4,House,570m²,,,,0,
R 775 000,2,1,1,Townhouse,,,,,0,0.0
R 1 550 000,4,3,2,House,,,,R900,0,
R 900 000,5,2,2,House,,,,,0,0.0
R 10 000 000,,,,IndustrialProperty,991m²,3468m²,,,0,
R 2 295 000,4,2,2,House,1250m²,,,R2366,1,1.0
R 1 575 000,4,2,3,House,744m²,245m²,,R750,1,0.0
R 3 500 000,,,,IndustrialProperty,451m²,451m²,,,0,
R 1 800 000,4,2.5,2,House,1487m²,,,,1,
R 753 000,3,1,2,House,200m²,60m²,,R300,0,1.0
R 2 250 000,3,2,2,Apartment/Flat,,,R3180,R1150,1,
R 949 000,2,2,1,Townhouse,37252m²,79m²,R1379,R350,1,
R 1 800 000 - R 5 400 000,,,,,,,,,0,
R 1 050 000,2,1,1,Apartment/Flat,,,,,1,0.0
R 2 300 000,,,,House,,,,,0,
R 9 000 000,,,,IndustrialProperty,3000m²,3000m²,,,0,
R 2 150 000,3,2,4,House,991m²,,,,0,1.0
R 430 000,1,1,1,Apartment/Flat,,37m²,R1925,R130,0,0.0
R 650 000,3,2,,House,253m²,,,,0,0.0
R 1 090 000,3,2,1,House,,,,,0,0.0
R 1 495 000,4,2,2,House,991m²,,,,0,
R 990 000,3,2.5,2,Townhouse,1990m²,121m²,R2200,R550,0,1.0
R 429 000,3,2,4,Apartment/Flat,123m²,123m²,R1309,,0,0.0
R 3 500 000,,,,IndustrialProperty,500m²,,,R2240,0,
R 755 000,2,1,1,Apartment/Flat,,56m²,R1335,R150,0,0.0
R 995 000,3,1,6,House,469m²,,,R491,1,1.0
R 850 000,2,1,2,House,,,,R553,0,0.0
R 1 190 000,3,2,4,Townhouse,150m²,150m²,,R800,0,
R 395 000,1,1,1,Apartment/Flat,,34m²,,R900,0,
R 850 000,3,2,8,House,660m²,134m²,,R350,0,1.0
R 4 900 000,,,,,,,,,0,
