price,bedrooms,bathrooms,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool,parking space
R 515 000,1,1,Apartment/Flat,,40m²,R1200,R350,,0,1
R 2 800 000,5,2,House,995m²,,,R2200,1.0,1,1
R 3 400 000,,3,House,1115m²,,,R923,,0,1
R 670 000,3,1,House,250m²,,,,,0,1
R 1 190 000,3,2.5,Townhouse,,118m²,R2200,R780,1.0,1,2
R 395 000,1,1,Apartment/Flat,,35m²,R1735,,0.0,0,
R 1 060 000,2,2,Apartment/Flat,,105m²,,,0.0,0,2
R 400 000,,,Apartment/Flat,,,,,,0,
POA,1,1,Apartment/Flat,,,,R385,,0,1
R 950 000,3,1,Townhouse,206ha,,R600,R850,,0,1
R 699 000,3,1,Townhouse,,,R1190,,,0,2
R 1 575 000,,,,,,,,,0,
R 1 500 000,,,IndustrialProperty,1000m²,500m²,,,,0,
R 1 550 000,3,3,House,2024m²,,,R2242,,1,8
R 539 000,2,1,Apartment/Flat,,,,,,0,2
R 1 100 000,5,3,House,548m²,,,,,0,2
R 699 000,2,1,Townhouse,,,R1766,R400,0.0,0,1
R 850 000,2,1,Apartment/Flat,2986m²,,R3650,R450,,0,1
R 3 895 000,5,2.5,House,1209m²,,,R1760,,1,4
R 4 000 000,4,3,House,1303m²,,,R3300,1.0,1,2
R 850 000,2,1,Townhouse,,65m²,,,1.0,0,1
R 435 000,1,1,Apartment/Flat,,30m²,,R200,,1,
R 4 250 000,3,2,House,2354m²,,,R2735,1.0,0,4
R 2 800 000,,,House,,,,,,0,
R 1 299 000,3,2.5,Townhouse,,177m²,R2900,R500,1.0,1,6
R 1 200 000,3,2,House,991m²,,,,,0,1
R 290 000,1,1,Apartment/Flat,43m²,43m²,,R525,0.0,0,1
R 700 000,3,1,House,,,,R300,,0,
R 395 000,1,1,Townhouse,4685m²,34m²,R1500,R200,,0,
R 820 000,2,1,House,248m²,,,R770,1.0,0,
R 1 199 000,2,2,Apartment/Flat,,105m²,R2490,R436,,0,2
R 8 000 000,,,CommercialProperty,400m²,400m²,,,,0,
R 1 499 000,3,2,House,,,,,1.0,1,4
