price,bedrooms,bathrooms,parking space,Type of Property,Levies,Rates and Taxes,Pool,Floor Size,Pets Allowed,Erf Size
R 2 600 000,4,2,5,House,,,1,,,2200m²
R 19 950 000,4,4.5,3,House,,R2592,0,900m²,1.0,1306m²
R 2 695 000,4,3,6,House,,R2166,0,361m²,1.0,1081m²
R 1 150 000,3,3,1,Apartment/Flat,R3585,R343,0,148m²,,4000m²
R 1 600 000,2,2,2,Apartment/Flat,R3800,R1400,1,111m²,,
R 2 200 000,4,2,5,House,,,0,,,1037m²
R 820 000,3,2,2,House,,,0,,,
R 790 000,3,1,1,Townhouse,R985,R510,1,,0.0,7056m²
R 1 199 000 - R 1 299 000,,,,,,,0,,,
R 3 995 000,3,2,2,Apartment/Flat,R7100,R2115,1,221m²,1.0,
R 400 000,0.5,1,1,Apartment/Flat,R1008,R196,0,27m²,,
R 690 000,3,2,1,House,,,0,499m²,1.0,
R 749 999,2,2,3,House,,,0,,1.0,263m²
R 1 790 000,11,4,,House,,R600,0,,0.0,352m²
R 275 000,1,1,2,Apartment/Flat,,,0,33m²,0.0,
R 2 895 000,3,2.5,5,House,,,0,990m²,,991m²
R 920 000,3,4,3,House,,R350,0,,,734m²
R 469 000,1,1,,Apartment/Flat,R896,R217,1,55m²,1.0,
R 170 000,1,1,,Apartment/Flat,R1206,,0,,,
R 8 000 000,,,,CommercialProperty,,,0,2475m²,,2475m²
R 660 000,2,1,1,Apartment/Flat,R1650,R121,1,77m²,,
R 1 200 000,3,2,1,House,,,0,,1.0,378m²
R 2 600 000,3,2,4,House,,,1,,,
R 4 399 000,4,3,4,House,,,1,,1.0,1164m²
R 890 000,3,1,,Apartment/Flat,R3125,,1,130m²,,
R 600 000,2,1,1,House,,,0,55m²,1.0,307m²
R 1 150 000,,,,VacantLand/Plot,,,0,,,
R 649 000,,,,,,,0,,,
R 13 200 000,,,,CommercialProperty,R1985,R1000,0,,,2260m²
R 1 109 000,2,2,2,Apartment/Flat,R2500,R700,0,72m²,0.0,45180m²
R 8 500 000,5,4.5,2,House,,R3500,1,,1.0,3708m²
POA,6,6,5,House,,,1,,1.0,1331m²
R 5 350 000,2,2.5,2,Apartment/Flat,,R3569,1,176m²,,
R 4 550 000,3,3,2,Townhouse,,R2795,1,390m²,1.0,497m²
R 2 139 000,,,,CommercialProperty,,,0,,,
R 1 950 000,3,2.5,1,Apartment/Flat,R4397,R707,0,183m²,0.0,
R 3 000 000,,,,House,,,0,,,
R 925 000,2,2,3,Apartment/Flat,R1747,R390,1,98m²,1.0,8543m²
R 5 500 000,,,,CommercialProperty,,,0,,,
R 520 000,2,1,2,Townhouse,R1750,R500,0,41m²,,
R 3 100 000,,,,VacantLand/Plot,R3200,R711,0,400m²,,902m²
R 3 400 000,3,2.5,3,Apartment/Flat,R5500,R1600,1,215m²,1.0,
R 640 000,1,1,,Apartment/Flat,,,1,,,
R 190 000,0.5,1,,Apartment/Flat,R173,,0,21m²,0.0,
R 3 355 000 - R 3 730 000,,,,,,,0,,,
R 810 000,2,2,1,Apartment/Flat,,,1,,,
R 260 000,,,,VacantLand/Plot,,,0,,,
R 3 995 000,4,3.5,8,House,,,1,,,992m²
R 799 000,3,2,,Apartment/Flat,,,0,,,
R 675 000,2,2,1,Townhouse,R437,,0,65m²,,17402m²
R 2 999 000,3,2,2,House,R1875,R1100,0,,1.0,500m²
R 7 399 000,3,3.5,4,House,,,1,,1.0,749m²
R 540 000,2,1,1,Apartment/Flat,R1221,R239,0,42m²,0.0,496m²
R 1 800 000,,,,CommercialProperty,,,0,,,629m²
R 14 495 000,5,4,3,House,,R12414,1,,1.0,3735m²
R 3 790 000,3,2,2,House,,,0,,1.0,495m²
R 1 699 000,2,1,1,Apartment/Flat,R3120,R720,0,96m²,0.0,
R 1 875 000,2,1,2,Apartment/Flat,R2165,R1200,0,58m²,0.0,
R 875 000,4,2,2,House,,,0,,1.0,603m²
R 1 100 000,3,2,1,House,,,0,,,
R 895 000,3,2.5,2,Apartment/Flat,R4300,,0,150m²,0.0,
R 1 740 000,2,1.5,1,House,,,0,,0.0,400m²
R 2 500 000,2,2,2,Apartment/Flat,R1500,R1400,0,74m²,0.0,
R 680 000,2,1.5,,Townhouse,,,0,,,
R 25 900 000,,,,CommercialProperty,,,0,835m²,,
R 1 600 000,3,1,4,House,,,0,,,
R 1 895 000,3,2,2,House,,,1,,0.0,
R 775 000,2,1,1,Apartment/Flat,,,0,,,
R 545 000,3,1,,House,,,0,,0.0,
R 14 500 000,,,,CommercialProperty,,,0,2350m²,,1860m²
R 480 000,3,1,,House,,,0,,,
R 1 250 000,4,2,4,House,,R600,0,,1.0,
R 1 795 000,4,2,6,House,,R1029,1,,1.0,1961m²
R 580 000,1,1,,Apartment/Flat,R2875,,1,55m²,0.0,637m²
R 1 150 000,3,2,2,Apartment/Flat,,,1,,1.0,
R 2 975 000,3,3.5,2,Townhouse,,,0,192m²,1.0,
R 600 000,2,1,1,Apartment/Flat,,R194,1,37m²,,
R 2 899 000,3,2,1,Townhouse,,,0,161m²,,
R 1 350 000,3,2,2,House,,,0,,,
R 2 499 000,4,2,2,House,,R856,1,,1.0,836m²
R 599 000,2,1,,House,,,0,,,1000m²
R 3 150 000,3,2,7,House,,,0,,1.0,495m²
R 3 899 000,3,3,2,House,,,1,200m²,1.0,496m²
R 750 000,2,1,2,House,,,0,,1.0,253m²
R 2 500 000 - R 4 300 000,,,,,,,0,,,
R 949 000,5,2,5,House,,R685,1,350m²,,450m²
R 1 600 000,11,5,4,House,,R600,0,495m²,,
R 1 180 000,4,1,2,House,,R637,0,,1.0,496m²
R 1 900 000,4,2.5,,House,,R1174,0,,,
R 580 000,2,1,2,Apartment/Flat,,R400,0,,0.0,79m²
R 720 000,2,2,2,Apartment/Flat,R1900,R386,1,74m²,,4468m²
R 1 750 000,5,3.5,2,House,,R650,1,,1.0,1024m²
R 3 200 000,,,,CommercialProperty,,,0,,,
R 1 450 000,2,1,1,Apartment/Flat,R3153,,0,118m²,0.0,
R 329 000,2,1,1,Apartment/Flat,R1440,,0,,,
R 1 100 000,2,1,,House,,,0,,1.0,
R 2 145 000,4,2,2,House,,,1,,,
R 920 000,2,1,,Apartment/Flat,R2347,,1,75m²,,
R 2 950 000,3,3.5,2,House,,R1000,1,,,2023m²
R 670 000,2,1,1,House,,R500,0,250m²,,259m²
R 1 150 000,3,2,1,Apartment/Flat,R3100,R500,1,128m²,,4000m²
R 5 000 000,,,,Farm,,,0,33284m²,1.0,
R 550 000,,1,,Apartment/Flat,,,0,,,
