price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool
R 850 000,1.0,1.0,1.0,Apartment/Flat,,44m²,R2298,R363,0.0,1
R 1 890 000,1.0,2.0,1.0,Apartment/Flat,3000m²,112m²,R4000,R2000,1.0,0
R 3 200 000,8.0,6.0,,House,1509m²,,,R2935,,0
R 650 000,2.0,2.0,1.0,Apartment/Flat,70m²,70m²,R991,R400,1.0,0
R 930 000,2.0,2.0,1.0,Apartment/Flat,,70m²,,,,0
R 2 368 000,1.0,1.0,1.0,Apartment/Flat,,55m²,R3234,R1420,1.0,1
R 950 000,3.0,2.0,2.0,House,,496m²,,R800,1.0,1
R 1 990 900,1.0,2.0,1.0,Apartment/Flat,2500m²,129m²,R3561,R3120,1.0,0
R 6 406 110,,,,CommercialProperty,,560m²,,,,0
R 4 500 000,,,,IndustrialProperty,1200m²,824m²,,,,0
R 899 000,2.0,1.0,2.0,Apartment/Flat,,89m²,R4610,R450,,1
POA,,,,IndustrialProperty,1539m²,1539m²,,R1,,0
R 679 000,3.0,1.5,3.0,House,366m²,,,R343,,0
R 839 000,2.0,1.0,2.0,Apartment/Flat,,56m²,R750,R500,0.0,0
R 4 320 000,,,,IndustrialProperty,3600m²,3600m²,,,,0
R 8 317 400,,,,IndustrialProperty,6398m²,6300m²,,,,0
R 675 000,1.0,1.0,1.0,Townhouse,12447m²,50m²,R780,R1921,0.0,1
R 755 000,,,,Apartment/Flat,,51m²,R750,R500,0.0,0
R 1 052 808,3.0,2.0,,House,300m²,93m²,,R400,,0
R 755 000,2.0,1.0,1.0,Apartment/Flat,56m²,56m²,R750,R180,,0
R 755 000,2.0,1.0,1.0,Apartment/Flat,,56m²,R1250,R250,,0
R 3 250 000,3.0,3.5,2.0,House,480m²,,R1265,,,1
R 599 999,1.0,1.0,1.0,Townhouse,,52m²,R1044,R330,0.0,0
R 3 250 000,3.0,4.0,3.0,House,1490m²,450m²,,R1585,1.0,1
R 545 000,3.0,1.0,1.0,House,350m²,69m²,,R594,1.0,0
R 755 000,2.0,1.0,2.0,Apartment/Flat,,51m²,R750,R500,0.0,0
