price,Type of Property,Erf Size,Floor Size,Rates and Taxes,Pool,bedrooms,bathrooms,parking space,Levies,Pets Allowed
R 3 800 000,House,495m²,312m²,R1800,1,3,2,4,,1.0
R 380 000,Apartment/Flat,,84m²,,0,1.5,1,1,R1693,0.0
R 3 610 500,CommercialProperty,333m²,,,0,,,,,
R 1 399 950,Apartment/Flat,123m²,123m²,,0,1,2,1,R3100,
R 3 700 000,House,991m²,,R2287,1,4,5,3,,
R 650 000,Apartment/Flat,68m²,68m²,,0,1,1,,,
R 1 390 000,House,,,,0,3,2,1,,
R 3 400 000,Apartment/Flat,,80m²,,0,2,2,,,
R 1 250 000,House,224m²,,R500,0,4,1,,,
R 999 950 - R 2 550 000,,,,,0,,,,,
R 820 000,House,740m²,,,0,3,2,4,,
R 1 199 000,Townhouse,327m²,,R449,0,3,2,2,R240,1.0
R 1 800 000,House,989m²,989m²,R1600,0,5,3,2,,1.0
R 1 100 000,House,,156m²,R400,0,3,2,3,,1.0
R 2 200 000,House,494m²,,,0,3,1,,,
R 525 000,Apartment/Flat,,42m²,R54,0,1,1,,R1198,
R 1 790 000,House,,,,0,4,2.5,5,,
R 20 000 000,CommercialProperty,1980ha,1150m²,,0,,,,,
R 48 000 000,CommercialProperty,4105m²,,R5858,0,,,,,
R 2 000 000,IndustrialProperty,984m²,415m²,,0,,,,,
R 1 400 000,Apartment/Flat,,117m²,R834,1,2,2,2,R3197,1.0
R 1 695 000,House,833m²,,R520,1,3,2.5,1,,1.0
R 430 000,Apartment/Flat,6061m²,41m²,R206,0,1,1,1,R1101,0.0
R 2 500 000,House,947m²,800m²,,1,4,2.5,4,,1.0
R 769 000,Apartment/Flat,,60m²,R369,1,2,1,1,R1770,0.0
R 699 000,Apartment/Flat,,,R250,0,2,1,1,R650,
R 3 300 000,CommercialProperty,,,,0,,,,,
R 3 716 900,Apartment/Flat,80.5m²,80m²,,0,2,2,,R2000,
R 599 000 - R 750 000,,,,,0,,,,,
R 2 400 000,Townhouse,,120m²,R1700,1,3,2.5,1,R3000,1.0
R 2 800 000,House,,,,1,3,3,4,,
R 16 000 000,House,1500m²,,,1,5,6,8,,1.0
R 2 050 000,Apartment/Flat,5961m²,105m²,R400,0,2,2,1,R2800,0.0
R 4 750 000,House,1934m²,,R2910,1,3,3.5,2,,1.0
R 2 699 000,House,496m²,,,1,3,3,2,,
R 4 999 000,Apartment/Flat,221m²,221m²,,0,,,,,
R 3 499 000,Townhouse,991m²,,,1,9,6,6,,
R 495 000,Apartment/Flat,,53m²,R236,0,1,1,,R2300,0.0
R 150 000,Apartment/Flat,,39m²,,0,1,1,1,,
R 4 350 000,House,1489m²,,,1,4,3,7,,
R 2 099 000,House,496m²,,,0,6,3,5,,1.0
R 650 000,Townhouse,,57m²,,0,3,1,2,,0.0
R 6 450 000,House,587m²,350m²,,1,4,4.5,2,R1500,1.0
R 3 999 000,Apartment/Flat,,,,1,3,2.5,2,,
R 650 000,Apartment/Flat,109m²,,,0,2,1.5,2,R3000,
R 6 999 000,IndustrialProperty,1784m²,1200m²,,0,,,,,0.0
R 1 000 000,Apartment/Flat,,86m²,,1,2,1,,,0.0
R 640 000,Apartment/Flat,66m²,66m²,,0,2,1,,,
R 800 000,Apartment/Flat,3m²,82m²,,0,2,1,1,,
R 2 950 000,Apartment/Flat,,177m²,,1,3,2,2,,0.0
R 5 500 000,House,2738m²,650m²,R2213,1,6,5,3,,0.0
