price,bedrooms,bathrooms,Type of Property,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool,Erf Size,parking space
R 1 500 000,6,3,House,,,,,0,447m²,3
R 425 000,1,1,Apartment/Flat,56m²,R900,R274,1.0,1,,
R 899 000,2,2,Apartment/Flat,,R2362,,,1,,1
R 795 000,3,1,Apartment/Flat,93m²,R2000,,,0,,1
R 450 000,1,1,Apartment/Flat,24m²,R1400,R500,0.0,0,24m²,1
R 1 750 000,3,2.5,House,,,R330,1.0,1,1262m²,2
R 1 499 000,2,2,Apartment/Flat,90m²,R2250,R1200,0.0,0,,2
R 1 349 000,2,2,Apartment/Flat,,R3323,R946,0.0,0,,1
R 4 700 000,3,2,House,,,R2636,,1,1397m²,2
R 3 500 000,3,2,House,,,R2655,,0,1020m²,2
R 603 252,1,1,Apartment/Flat,55m²,R2390,,,0,2000m²,
R 649 000,,,,,,,,0,,
R 1 550 000,4,2,Apartment/Flat,187m²,R3600,,,0,,
R 1 650 000,8,,House,,,R1658,1.0,0,496m²,5
R 1 199 000,3,2,House,93m²,,,,0,327m²,2
R 500 000,3,1,Apartment/Flat,91m²,R1432,R253,,0,3010m²,1
R 1 200 000,1,1,Apartment/Flat,105m²,R3835,R1198,0.0,0,,1
R 440 000,2,1,Apartment/Flat,,,,,1,,1
R 650 000,2,2,Apartment/Flat,61m²,R1100,R400,,0,61m²,1
R 1 590 000,3,1,House,892m²,,R1753,,1,892m²,3
R 2 500 000,3,2,House,,,,,0,1422m²,4
R 1 680 000,3,2,House,300m²,,R347,,0,489ha,4
R 365 000,2.5,1,Apartment/Flat,113m²,R1218,,0.0,0,,1
R 3 999 999,2,2.5,House,,,,1.0,1,753m²,5
R 2 050 000,2,2,Townhouse,100m²,,,,1,115m²,3
R 5 900 000,3,2.5,House,,R1510,R2183,1.0,1,874m²,2
R 9 400 000,3,3,Apartment/Flat,197m²,R7300,,,0,197.6m²,2
R 1 750 000,2,2,Apartment/Flat,128m²,R3500,R550,1.0,0,,1
