price,bedrooms,bathrooms,Type of Property,Pool,parking space,Erf Size,Levies,Rates and Taxes,Pets Allowed,Floor Size
R 7 500 000,4,2,House,1,4,1880m²,,R5583,1.0,
R 3 950 000,3,3.5,Townhouse,0,2,204m²,R3435,R2320,1.0,
R 8 499 000,6,6,House,1,22,2549m²,,R10000,1.0,600m²
R 725 000,1,1,Apartment/Flat,1,1,,R1200,R450,0.0,56m²
R 1 499 000,3,2,Apartment/Flat,0,,,R4057,R1388,,143m²
R 980 000,2,,Apartment/Flat,1,1,,,,0.0,
R 4 900 000,,,,0,,,,,,
R 580 000,2,1,Townhouse,0,,15365m²,R1000,R347,0.0,62m²
R 2 650 000,4,4,House,1,4,793m²,,R2000,1.0,
R 1 400 000,3,2,House,1,5,744m²,,,1.0,
R 1 100 000,3,1.5,Townhouse,1,,9255m²,R2400,R550,1.0,118m²
R 3 850 000,7,9,House,0,4,1500m²,,R1500,,550m²
R 1 295 000,5,2,Apartment/Flat,0,,1616m²,R2700,R300,0.0,95m²
R 530 000,2,1,Townhouse,1,1,,R1342,R339,,61m²
R 1 075 000,2,2,Townhouse,1,1,,R2800,R460,,89m²
R 400 000,2,1,Apartment/Flat,0,1,,R1380,R170,0.0,82m²
R 310 000,0.5,1,Apartment/Flat,0,,500m²,,R300,0.0,21m²
R 500 000,2,2,Townhouse,1,2,,,,0.0,
R 2 700 000,3,3,Townhouse,1,4,,,,,
R 1 490 000,3,3,Townhouse,0,1,,R2853,R1194,1.0,187m²
R 330 000,2,2,Townhouse,0,,6505m²,,,,110m²
R 5 925 000,3,3,House,1,6,2189m²,,,1.0,
R 1 299 000,3,2,Apartment/Flat,0,,,R1350,R363,,106m²
R 570 000,2,1,Apartment/Flat,0,,,,,,
R 1 575 000,,,,0,,,,,,
R 1 250 000,3,2,Townhouse,1,1,,R2000,R350,1.0,118m²
R 2 995 000,,,CommercialProperty,0,,1980m²,,,,
R 24 900 000,3,3.5,Apartment/Flat,1,6,,,,,
R 1 995 000,3,2,House,0,2,135m²,R1250,,,110m²
R 1 200 000,3,1,House,0,5,605m²,,R490,,
R 360 000,1,1,Apartment/Flat,0,,2779m²,R1600,R200,0.0,27m²
R 1 500 000,2,2,Apartment/Flat,1,1,,R3984,,1.0,106m²
R 1 995 000,3,1,House,0,1,744m²,,R952,0.0,
R 12 000 000,,,IndustrialProperty,0,,11883m²,,,,
R 14 995 000,50,25,House,1,30,3281m²,,R2800,1.0,2407m²
R 2 495 000,4,2,House,1,4,2644m²,,R2788,1.0,
R 1 700 000,3,2,Apartment/Flat,0,2,4465m²,R2529,R802,0.0,182m²
R 2 200 000,,,House,0,,,,,,
R 4 500 000,,,CommercialProperty,0,,838m²,,R5200,,1370m²
R 365 000,3,2,Apartment/Flat,0,1,994m²,R780,R255,0.0,122m²
