price,Type of Property,Erf Size,Levies,Pool,bedrooms,bathrooms,parking space,Floor Size,Rates and Taxes,Pets Allowed
R 707 180 - R 751 950,,,,0,,,,,,
R 245 000,Apartment/Flat,,R974,0,0.5,1,,38m²,R480,0.0
R 575 000,Townhouse,496m²,,0,2,2,1,122m²,R361,0.0
R 1 299 000,House,950m²,,0,3,2,2,,R566,1.0
R 3 650 000,House,1076m²,,1,4,2,6,,R2199,
R 4 200 000,Apartment/Flat,88m²,R3872,1,2,2,2,,,
R 2 200 000,Apartment/Flat,,R3400,0,3,2.5,2,148m²,,0.0
R 4 800 000,Apartment/Flat,,R4488,1,2,2,2,102m²,,
R 1 450 000,Apartment/Flat,,R2650,0,2,1.5,1,115m²,R890,0.0
R 1 280 000,House,,,0,4,2,2,,,
R 695 000,Apartment/Flat,,R1277,0,1,1,,63m²,R416,
R 3 995 000,Apartment/Flat,,,1,2,2.5,2,184m²,,0.0
R 1 400 000,House,418m²,,0,3,1,1,,R1200,0.0
R 550 000,Townhouse,1m²,R800,0,2,1,,1m²,R300,0.0
R 950 000,House,,,0,3,1,1,,,
R 3 200 000,House,2500m²,,1,4,3,2,,R1500,1.0
R 1 350 000,Apartment/Flat,,,0,1,1,1,60m²,,0.0
R 616 000,Apartment/Flat,,,0,,,,,,0.0
R 599 000,House,378m²,,0,2,1,2,,R207,
R 629 000,,,,0,,,,,,
R 250 000,Apartment/Flat,,,0,2,1,,89m²,,
R 4 700 000,IndustrialProperty,719m²,R6471,0,,,,719m²,R4299,
R 1 500 000,House,,,0,3,2,,,,
R 1 550 000,House,697m²,,1,3,2,3,,,1.0
R 85 000 000,CommercialProperty,1743m²,,0,,,,10000m²,,
R 350 000,Apartment/Flat,,R1267,0,1,1.5,1,95m²,,0.0
POA,Apartment/Flat,,,0,,1,,,,
R 995 000,Apartment/Flat,,,1,1,1,1,54m²,R839,1.0
R 3 800 000,Apartment/Flat,,R1800,1,3,2.5,2,255m²,R1200,
