price,bedrooms,bathrooms,parking space,Type of Property,Rates and Taxes,Pool,Erf Size,Pets Allowed,Floor Size,Levies
R 8 500 000,4,3,3,House,R4725,1,1320m²,1.0,,R2412
R 849 000,4,2,1,House,R1432,0,325m²,,200m²,
R 750 000,2,1.5,1,House,R113,0,,1.0,87m²,
R 26 000 000,,,,IndustrialProperty,R1,0,11000m²,,9170m²,R1
R 1 990 000,4,2,4,House,R2445,0,,,,
R 475 000,3,1.5,,Apartment/Flat,,0,,0.0,144m²,R3354
R 1 890 000,5,4,3,House,R806,1,992m²,1.0,,
R 3 500 000,6,4,8,House,R5715,1,1028m²,1.0,400m²,
R 2 695 000,3,1,3,Apartment/Flat,R800,0,7552m²,0.0,138m²,R4698
R 39 500 000,,,,CommercialProperty,,0,10899m²,,5146m²,
R 2 895 000,,,,VacantLand/Plot,,0,728m²,,,R1673
R 489 000,1,1,1,House,,0,35m²,,,
R 4 800 000,,,,CommercialProperty,,0,2026m²,,,
R 449 000,2,1,1,Apartment/Flat,R280,0,,,,R1400
R 599 000 - R 750 000,,,,,,0,,,,
R 950 000,3,1,,Apartment/Flat,R1077,0,,0.0,90m²,R1627
R 2 745 000,3,3,1,Townhouse,R1550,0,,1.0,220m²,
